"name","party","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Q_7","Q_8","Q_9","Q_10","Q_11","Q_12","Q_13","Q_14","Q_15","Q_16","Q_17","Q_18","Q_19","Q_20","Q_21","Q_22","Q_23","Q_24","Q_25","Q_26","Q_27","Q_28","Q_29"
"Mari Speek","SDE",3,4,4,2,2,3,3,4,2,4,1,4,1,4,1,4,4,4,3,4,3,3,4,4,4,1,1,4,2
"Reno Laidre","Reformierakond",3,1,2,3,1,4,3,2,2,4,4,4,3,3,2,4,4,2,1,4,2,1,NA,1,4,3,3,4,4
"Maris Jõgeva","SDE",2,3,3,3,3,3,2,3,1,4,NA,3,2,4,NA,3,3,4,2,4,NA,3,3,2,3,1,2,4,2
"Hele Everaus","Reformierakond",3,1,2,3,4,3,3,2,2,2,3,3,2,2,4,2,2,2,1,3,2,2,2,3,3,1,3,2,2
"Irina Talviste","Reformierakond",2,1,2,4,2,4,4,1,2,4,2,3,1,3,NA,NA,4,2,3,4,NA,1,2,3,4,NA,NA,4,3
"Toomas Rõhu","Reformierakond",3,2,2,3,2,3,4,3,2,1,4,3,4,3,4,3,NA,2,1,3,1,1,3,1,2,3,2,4,3
"Raido Parve","SDE",3,4,3,3,3,3,3,2,2,3,3,NA,3,4,NA,4,NA,2,2,3,2,3,4,2,3,4,3,NA,2
"Eerik Lumiste","SDE",2,3,3,3,4,4,3,2,3,2,4,3,3,3,3,4,3,2,2,4,1,3,3,1,3,3,4,2,2
"Ott Valdma","SDE",4,4,3,2,3,4,3,2,3,4,3,3,2,NA,3,3,NA,3,NA,3,3,1,2,1,2,2,4,3,3
"Krista Aru","SDE",2,4,3,4,4,3,3,2,2,4,4,3,2,4,2,3,2,2,1,3,3,3,2,2,2,3,3,4,2
"Maano Koemets","SDE",3,3,2,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3
"Lemmit Kaplinski","SDE",3,4,2,4,3,4,2,2,2,4,4,4,1,4,1,4,NA,2,2,3,3,2,2,3,2,4,4,3,2
"Rauno Alliksaar","Rohelised",NA,4,4,3,3,2,1,2,1,4,4,NA,2,4,1,4,4,4,2,3,NA,1,4,NA,4,1,1,4,1
"Pille Petersoo","SDE",3,3,4,3,2,2,1,3,1,4,3,3,3,4,1,4,4,4,3,3,2,3,2,2,2,3,2,4,2
"Jari Pärgma","SDE",3,3,1,2,4,3,2,1,2,4,2,NA,3,4,1,3,4,4,1,2,3,4,4,3,3,3,3,3,3
