"party";"candidate_nr";"candidate_name";"candidate_votes";"candidate_position";"party_votes_const";"prop_candidate_votes_party";"prop_candidate_votes_constituency";"constituency"
"Erakond Parempoolsed";192;"TÕNU AIGRO";158;5;1207;0,130903065451533;0,00336951653835491;9
"Erakond Parempoolsed";191;"KADRI SOMMER";125;4;1207;0,103562551781276;0,00266575675502762;9
"Erakond Parempoolsed";194;"IMRE VILT";56;7;1207;0,0463960231980116;0,00119425902625237;9
"Erakond Parempoolsed";195;"AGO KAASIK";48;8;1207;0,0397680198840099;0,00102365059393061;9
"Erakond Parempoolsed";196;"MARTIN KLEINERT";44;9;1207;0,0364540182270091;0,000938346377769721;9
"Erakond Parempoolsed";193;"GUIDO POOK";36;6;1207;0,0298260149130075;0,000767737945447954;9
"ISAMAA Erakond";371;"AIVAR KOKK";3136;1;5609;0,559101444107684;0,0668785054701329;9
"ISAMAA Erakond";372;"JUHANI JAEGER";594;2;5609;0,105901230165805;0,0126676760998912;9
"ISAMAA Erakond";373;"REET ALEV";503;3;5609;0,0896773043323231;0,0107270051822311;9
"ISAMAA Erakond";379;"MAREK PIHLAK";441;9;5609;0,0786236405776431;0,00940478983173743;9
"ISAMAA Erakond";375;"AARE ANDERSON";277;5;5609;0,0493849170975218;0,0059073169691412;9
"ISAMAA Erakond";378;"RAIN SANGERNEBO";261;8;5609;0,0465323587092173;0,00556610010449766;9
"ISAMAA Erakond";377;"IVAR TEDREMA";157;7;5609;0,027990729185238;0,00334819048431469;9
"ISAMAA Erakond";374;"ARGO ANNUK";148;4;5609;0,0263861650918167;0,0031562559979527;9
"ISAMAA Erakond";376;"IRINA ORLOVA";92;6;5609;0,0164022107327509;0,00196199697170033;9
"Sotsiaaldemokraatlik Erakond";497;"PRIIT LOMP";1030;2;4235;0,243211334120425;0,0219658356614276;9
"Sotsiaaldemokraatlik Erakond";496;"KAJAR LEMBER";882;1;4235;0,208264462809917;0,0188095796634749;9
"Sotsiaaldemokraatlik Erakond";504;"JARNO LAUR";554;9;4235;0,130814639905549;0,0118146339382824;9
"Sotsiaaldemokraatlik Erakond";499;"MARIKA SAAR";512;4;4235;0,120897284533648;0,0109189396685931;9
"Sotsiaaldemokraatlik Erakond";500;"LIIS ROSIN";319;5;4235;0,0753246753246753;0,00680301123883048;9
"Sotsiaaldemokraatlik Erakond";503;"MAANO KOEMETS";285;8;4235;0,0672963400236127;0,00607792540146297;9
"Sotsiaaldemokraatlik Erakond";502;"HANNES SOOSAAR";240;7;4235;0,0566706021251476;0,00511825296965302;9
"Sotsiaaldemokraatlik Erakond";501;"MAIRE PÜSS";229;6;4235;0,054073199527745;0,00488366637521059;9
"Sotsiaaldemokraatlik Erakond";498;"ASSO NETTAN";184;3;4235;0,0434474616292798;0,00392399394340065;9
"Eesti Keskerakond";1006;"AADU MUST";618;2;3600;0,171666666666667;0,012594766446564;10
"Eesti Keskerakond";1005;"JAAN TOOTS";533;1;3600;0,148055555555556;0,0108624765631369;10
"Eesti Keskerakond";1008;"ANDRO ROOS";528;4;3600;0,146666666666667;0,0107605771582294;10
"Eesti Keskerakond";1009;"NIKOLAI PÕDRAMÄGI";404;5;3600;0,112222222222222;0,00823347191652401;10
"Eesti Keskerakond";1007;"ANNELI OTT";402;3;3600;0,111666666666667;0,00819271215456102;10
"Eesti Keskerakond";1014;"ALEKSANDR ŠIROKOV";377;10;3600;0,104722222222222;0,00768321513002364;10
"Eesti Keskerakond";1010;"ISMAIL MIRZOJEV";231;6;3600;0,0641666666666667;0,00470775250672536;10
"Eesti Keskerakond";1013;"IRINA PANOVA";191;9;3600;0,0530555555555556;0,00389255726746556;10
"Eesti Keskerakond";1011;"KIRILL AVDEJEV";186;7;3600;0,0516666666666667;0,00379065786255808;10
"Eesti Keskerakond";1012;"VLADIMIR ŠOKMAN";130;8;3600;0,0361111111111111;0,00264938452759436;10
"Eesti Konservatiivne Rahvaerakond";630;"JAAK VALGE";2340;1;7138;0,327822919585318;0,0476889214966985;10
"Eesti Konservatiivne Rahvaerakond";631;"LOONE OTS";837;2;7138;0,117259736620902;0,0170579603815114;10
"Eesti Konservatiivne Rahvaerakond";632;"SILVER KUUSIK";829;3;7138;0,116138974502662;0,0168949213336594;10
"Eesti Konservatiivne Rahvaerakond";633;"MALLE PÄRN";813;4;7138;0,113897450266181;0,0165688432379555;10
"Eesti Konservatiivne Rahvaerakond";635;"MERLE KIVEST";513;6;7138;0,0718688708321659;0,010454878943507;10
"Eesti Konservatiivne Rahvaerakond";634;"INDREK KALDA";468;5;7138;0,0655645839170636;0,00953778429933969;10
"Eesti Konservatiivne Rahvaerakond";637;"IMRE VÄHI";400;8;7138;0,0560381059120202;0,00815195239259803;10
"Eesti Konservatiivne Rahvaerakond";636;"GERT GORŠANOV";364;7;7138;0,0509946763799384;0,0074182766772642;10
"Eesti Konservatiivne Rahvaerakond";638;"RAUL KIVI";310;9;7138;0,0434295320818156;0,00631776310426347;10
"Eesti Konservatiivne Rahvaerakond";639;"AIVAR SÖÖT";264;10;7138;0,0369851499019333;0,0053802885791147;10
